Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,WORKSTATE,DEPT_CODE,STNL_REG,geometry,latitude,longitude
1000022000,101,계동창덕궁앞,0,,5,11110,100,POINT (199050.1386000002 553305.8594000004),37.57930316,126.9892467
1000001400,104,홍지문터널(북측),0,,5,11110,100,POINT (197527.9253000002 556258.2445999999),37.60590108,126.9720038
1000006800,101,세운교(북단),1,,5,11110,100,POINT (199585.7341 552116.1561999992),37.56858439,126.9953108
1000011100,101,종로천주교회,0,,5,11110,100,POINT (199683.8509 552372.2211000007),37.57089156,126.9964213
1000012300,101,코리아빌딩,1,,5,11110,100,POINT (200591.1847000001 552474.5007000007),37.57181296,127.0066921
1000022800,101,송림빌딩,0,,5,11110,100,POINT (197225.9698000001 553444.8374000005),37.58055165,126.9685948
1000022300,101,태창빌딩,0,,5,11110,100,POINT (197319.7911999999 553323.2346999999),37.5794563,126.9696574
1000008100,101,첨성대(음식점),1,,5,11110,100,POINT (197523.0082 552286.0399999991),37.5701118,126.9719616
1000014200,101,용비어천가,1,,5,11110,100,POINT (197587.4173999997 552617.5260000005),37.57309864,126.9726895
1000015800,101,동아기획,1,,5,11110,100,POINT (197347.8048999999 552742.8117999993),37.5742268,126.9699767
1000030300,101,건덕빌라,0,,5,11110,100,POINT (196192.5075000003 556958.0159000009),37.61220139,126.9568766
1000027700,101,상명초등학교,0,,5,11110,100,POINT (196179.5648999996 555700.6692999993),37.60087277,126.9567366
1000023100,101,퍼스트빌,0,,5,11110,100,POINT (197217.3973000003 553538.3413999993),37.58139409,126.9684974
1000026100,101,경기상고,1,,5,11110,100,POINT (197229.5570999999 554356.7566),37.58876799,126.968632
1000026600,102,벽산빌라,0,,5,11110,100,POINT (197169.5851999996 554648.5028000008),37.59139642,126.9679518
1000030700,102,구기동삼익빌라,0,,5,11110,100,POINT (195977.7977 557401.7229999993),37.61619822,126.9544424
1000022200,101,남전빌라,0,,5,11110,100,POINT (197241.6860999996 553320.8533999994),37.57943461,126.9687732
1000001300,101,신설동역,1,,5,11110,100,POINT (202051.8240999999 552892.9269999992),37.57558086,127.0232274
1000029600,105,종로구-은평구경계(1),0,,5,11110,100,POINT (195694.5827000001 556655.9493000004),37.6094776,126.9512389
1000026900,105,종로구-성북구경계(2),0,,5,11110,100,POINT (199923.9599000001 554754.3222000003),37.59235419,126.999139
1000023700,101,명신초교,0,,5,11110,100,POINT (201293.9813000001 553636.2433000002),37.58227948,127.0146497
1000028900,105,종로구-성북구경계(5),0,,5,11110,100,POINT (198750.7938999999 556413.1359000001),37.60729911,126.9858525
1000023500,105,종로구-성북구경계(1),0,,5,11110,100,POINT (201346.8521999996 553586.2720999997),37.58182916,127.0152482
1000026700,105,종로구-성북구경계(3),0,,5,11110,100,POINT (199090.1734999996 554673.7606000006),37.59162789,126.9896982
1000029400,105,종로구-성북구경계(6),0,,5,11110,100,POINT (198732.8726000004 556622.5589000005),37.60918596,126.9856492
1000027200,105,종로구-성북구경계(4),0,,5,11110,100,POINT (198522.7701000003 555075.2111000009),37.59524419,126.9832728
1000023300,101,쌍용아파트,1,,5,11110,100,POINT (201082.7536000004 553551.6920999996),37.58151795,127.0122582
1000030100,105,종로구-성북구경계(7),0,,5,11110,100,POINT (198685.7187000001 556902.2681000009),37.61170604,126.9851146
